epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,1280.68,0.85459,0.79498,0.00432,0.78138,0.74176,0.86221,0.70198,0.66423,1.08801,0.00507,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1306.11,0.86685,0.82934,0.00427,0.78524,0.74919,0.85879,0.70475,0.66945,1.01505,0.00529,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1328.58,0.82962,0.80495,0.0043,0.77695,0.75339,0.86727,0.69938,0.78112,1.03936,0.00648,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1349.84,0.84138,0.78968,0.00419,0.84594,0.67465,0.86141,0.67255,0.8081,0.98961,0.00668,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1373.43,0.86135,0.80243,0.00451,0.75491,0.80598,0.86418,0.71512,0.66253,0.90238,0.00534,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1393.71,0.82063,0.81552,0.00443,0.73297,0.7795,0.86182,0.72019,0.67784,0.92327,0.0055,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1418.72,0.8249,0.80646,0.00418,0.76161,0.75259,0.8607,0.69538,0.69432,0.99102,0.00568,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1440.09,0.8164,0.84325,0.00433,0.80546,0.68523,0.82791,0.67723,0.6765,0.9448,0.00592,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1461.85,0.77255,0.73539,0.00419,0.81649,0.66561,0.82971,0.65846,0.71764,1.0022,0.00623,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1486.94,0.80426,0.79462,0.00449,0.82743,0.73757,0.84214,0.68502,0.6719,0.9373,0.00565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1508.82,0.82162,0.76794,0.00421,0.81193,0.72718,0.84252,0.65674,0.79307,0.98681,0.00621,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,1528.55,0.7969,0.74184,0.00394,0.7758,0.74238,0.85798,0.68725,0.76157,0.95848,0.00663,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,1552.47,0.83592,0.75892,0.00407,0.78062,0.76107,0.85239,0.684,0.69069,0.9714,0.00575,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1573.15,0.83578,0.75952,0.00378,0.82833,0.74526,0.83771,0.67876,0.6696,0.9809,0.00563,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1594.06,0.77243,0.7629,0.00401,0.8177,0.68895,0.84824,0.68549,0.69903,0.9804,0.00618,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,1615.55,0.83213,0.75999,0.00414,0.8168,0.69341,0.83918,0.67473,0.68375,0.9967,0.00593,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,1637.16,0.78844,0.73083,0.00403,0.81188,0.72968,0.85216,0.66695,0.68222,1.00395,0.00576,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,1658.18,0.73511,0.66949,0.00385,0.81957,0.73165,0.85791,0.64716,0.7787,1.01441,0.00643,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,1677.58,0.75372,0.72351,0.00376,0.82214,0.7272,0.85219,0.66153,0.75228,0.97475,0.00639,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,1697.95,0.7614,0.71988,0.00383,0.85104,0.75994,0.88324,0.70047,0.73611,0.91012,0.00639,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,1720.63,0.75261,0.72304,0.00407,0.8485,0.74664,0.88561,0.71079,0.66367,0.91924,0.0059,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,1746.73,0.76661,0.73553,0.00397,0.83109,0.76422,0.87394,0.6786,0.71802,0.98445,0.00599,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
